image_id,method,task,mIoU,pixel_accuracy,inference_time_sec
image_047,Watershed-Binary,binary,0.42736005,0.791194978,0.017858982
image_047,Watershed-Semantic-Oracle,semantic-oracle,0.581664017,0.946399294,0.028060913
image_047,U-Net-Semantic,semantic,0.069655421,0.879178833,0.38848877
image_047,SegFormer-Semantic,semantic,0.056771205,0.439161969,0.403906107
image_047,SAM-Class-Agnostic,class-agnostic-binary,0.254979258,0.469821058,21.46398187
image_048,Watershed-Binary,binary,0.097420971,0.181353027,0.014291286
image_048,Watershed-Semantic-Oracle,semantic-oracle,0.099829284,0.185705303,0.01799655
image_048,U-Net-Semantic,semantic,0.429192204,0.779258675,0.322668552
image_048,SegFormer-Semantic,semantic,0.189500166,0.397791395,0.373421431
image_048,SAM-Class-Agnostic,class-agnostic-binary,0.550678703,0.715803404,22.08897901
image_049,Watershed-Binary,binary,0.614800171,0.944769816,0.013241291
image_049,Watershed-Semantic-Oracle,semantic-oracle,0.760688743,0.981193271,0.015071392
image_049,U-Net-Semantic,semantic,0.141332799,0.970405457,0.393246412
image_049,SegFormer-Semantic,semantic,0.242139694,0.953480956,0.508171082
image_049,SAM-Class-Agnostic,class-agnostic-binary,0.021254597,0.042381252,23.14878345
image_050,Watershed-Binary,binary,0.28338317,0.464561507,0.033507824
image_050,Watershed-Semantic-Oracle,semantic-oracle,0.225505417,0.54539195,0.035137892
image_050,U-Net-Semantic,semantic,0.405992468,0.876204961,0.445075274
image_050,SegFormer-Semantic,semantic,0.068126312,0.543138913,0.495031834
image_050,SAM-Class-Agnostic,class-agnostic-binary,0.425925193,0.603753029,23.65654373
image_051,Watershed-Binary,binary,0.255959753,0.496537754,0.018065214
image_051,Watershed-Semantic-Oracle,semantic-oracle,0.457128731,0.849489826,0.025932789
image_051,U-Net-Semantic,semantic,0.150723581,0.897598695,0.391090393
image_051,SegFormer-Semantic,semantic,0.131868825,0.527475299,0.464705229
image_051,SAM-Class-Agnostic,class-agnostic-binary,0.158083117,0.274351001,22.19505358
image_052,Watershed-Binary,binary,0.270107027,0.460610866,0.020964146
image_052,Watershed-Semantic-Oracle,semantic-oracle,0.189417048,0.603498687,0.030378103
image_052,U-Net-Semantic,semantic,0.114396819,0.794906421,0.387874126
image_052,SegFormer-Semantic,semantic,0.070932182,0.290809753,0.407880306
image_052,SAM-Class-Agnostic,class-agnostic-binary,0.288555508,0.449415234,21.71745014
image_053,Watershed-Binary,binary,0.369626538,0.539984804,0.02102375
image_053,Watershed-Semantic-Oracle,semantic-oracle,0.369626538,0.539984804,0.022136211
image_053,U-Net-Semantic,semantic,0.09295391,0.795456067,0.323250294
image_053,SegFormer-Semantic,semantic,0,0,0.398176908
image_053,SAM-Class-Agnostic,class-agnostic-binary,0.245079576,0.478735005,21.55522513
image_054,Watershed-Binary,binary,0.161319014,0.30386911,0.016350031
image_054,Watershed-Semantic-Oracle,semantic-oracle,0.093714515,0.337881101,0.025614262
image_054,U-Net-Semantic,semantic,0.249660681,0.861860988,0.364487886
image_054,SegFormer-Semantic,semantic,0.000218507,0.00141045,0.401140928
image_054,SAM-Class-Agnostic,class-agnostic-binary,0.086313517,0.169983836,21.49411106
image_055,Watershed-Binary,binary,0.003943263,0.007886162,0.016525507
image_055,Watershed-Semantic-Oracle,semantic-oracle,0.493439098,0.986878195,0.024929762
image_055,U-Net-Semantic,semantic,0.084905629,0.873729078,0.356182337
image_055,SegFormer-Semantic,semantic,0,0,0.402022362
image_055,SAM-Class-Agnostic,class-agnostic-binary,0.00658267,0.013164121,21.81154871
image_056,Watershed-Binary,binary,0.272821928,0.545643856,0.012982845
image_056,Watershed-Semantic-Oracle,semantic-oracle,0.425218083,0.850436166,0.018774748
image_056,U-Net-Semantic,semantic,0.132138463,0.921529571,0.379550934
